character,unicode,sentiment,label
😂,0x1f602,0.221,FACE WITH TEARS OF JOY
❤,0x2764,0.746,HEAVY BLACK HEART
♥,0x2665,0.657,BLACK HEART SUIT
😍,0x1f60d,0.678,SMILING FACE WITH HEART-SHAPED EYES
😭,0x1f62d,-0.093,LOUDLY CRYING FACE
😘,0x1f618,0.701,FACE THROWING A KISS
😊,0x1f60a,0.644,SMILING FACE WITH SMILING EYES
👌,0x1f44c,0.563,OK HAND SIGN
💕,0x1f495,0.632,TWO HEARTS
👏,0x1f44f,0.520,CLAPPING HANDS SIGN
😁,0x1f601,0.449,GRINNING FACE WITH SMILING EYES
☺,0x263a,0.657,WHITE SMILING FACE
♡,0x2661,0.669,WHITE HEART SUIT
👍,0x1f44d,0.521,THUMBS UP SIGN
😩,0x1f629,-0.368,WEARY FACE
🙏,0x1f64f,0.417,PERSON WITH FOLDED HANDS
✌,0x270c,0.463,VICTORY HAND
😏,0x1f60f,0.332,SMIRKING FACE
😉,0x1f609,0.463,WINKING FACE
🙌,0x1f64c,0.559,PERSON RAISING BOTH HANDS IN CELEBRATION
🙈,0x1f648,0.432,SEE-NO-EVIL MONKEY
💪,0x1f4aa,0.555,FLEXED BICEPS
😄,0x1f604,0.421,SMILING FACE WITH OPEN MOUTH AND SMILING EYES
😒,0x1f612,-0.374,UNAMUSED FACE
💃,0x1f483,0.734,DANCER
💖,0x1f496,0.712,SPARKLING HEART
😃,0x1f603,0.557,SMILING FACE WITH OPEN MOUTH
😔,0x1f614,-0.146,PENSIVE FACE
😱,0x1f631,0.190,FACE SCREAMING IN FEAR
🎉,0x1f389,0.738,PARTY POPPER
😜,0x1f61c,0.455,FACE WITH STUCK-OUT TONGUE AND WINKING EYE
☯,0x262f,0.001,YIN YANG
🌸,0x1f338,0.650,CHERRY BLOSSOM
💜,0x1f49c,0.654,PURPLE HEART
💙,0x1f499,0.730,BLUE HEART
✨,0x2728,0.351,SPARKLES
😳,0x1f633,0.018,FLUSHED FACE
💗,0x1f497,0.657,GROWING HEART
★,0x2605,0.283,BLACK STAR
█,0x2588,-0.032,FULL BLOCK
☀,0x2600,0.465,BLACK SUN WITH RAYS
😡,0x1f621,-0.173,POUTING FACE
😎,0x1f60e,0.491,SMILING FACE WITH SUNGLASSES
😢,0x1f622,0.007,CRYING FACE
💋,0x1f48b,0.691,KISS MARK
😋,0x1f60b,0.631,FACE SAVOURING DELICIOUS FOOD
🙊,0x1f64a,0.459,SPEAK-NO-EVIL MONKEY
😴,0x1f634,-0.080,SLEEPING FACE
🎶,0x1f3b6,0.537,MULTIPLE MUSICAL NOTES
💞,0x1f49e,0.739,REVOLVING HEARTS
😌,0x1f60c,0.482,RELIEVED FACE
🔥,0x1f525,0.139,FIRE
💯,0x1f4af,0.120,HUNDRED POINTS SYMBOL
🔫,0x1f52b,-0.194,PISTOL
💛,0x1f49b,0.709,YELLOW HEART
💁,0x1f481,0.326,INFORMATION DESK PERSON
💚,0x1f49a,0.656,GREEN HEART
♫,0x266b,0.287,BEAMED EIGHTH NOTES
😞,0x1f61e,-0.118,DISAPPOINTED FACE
😆,0x1f606,0.409,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
😝,0x1f61d,0.423,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
😪,0x1f62a,-0.080,SLEEPY FACE
�,0xfffd,0.086,REPLACEMENT CHARACTER
😫,0x1f62b,-0.145,TIRED FACE
😅,0x1f605,0.178,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
👊,0x1f44a,0.228,FISTED HAND SIGN
💀,0x1f480,-0.207,SKULL
😀,0x1f600,0.568,GRINNING FACE
😚,0x1f61a,0.710,KISSING FACE WITH CLOSED EYES
😻,0x1f63b,0.619,SMILING CAT FACE WITH HEART-SHAPED EYES
©,0xa9,0.117,COPYRIGHT SIGN
👀,0x1f440,0.063,EYES
💘,0x1f498,0.683,HEART WITH ARROW
🐓,0x1f413,0.028,ROOSTER
☕,0x2615,0.244,HOT BEVERAGE
👋,0x1f44b,0.413,WAVING HAND SIGN
✋,0x270b,0.126,RAISED HAND
🎊,0x1f38a,0.721,CONFETTI BALL
🍕,0x1f355,0.417,SLICE OF PIZZA
❄,0x2744,0.506,SNOWFLAKE
😥,0x1f625,0.122,DISAPPOINTED BUT RELIEVED FACE
😕,0x1f615,-0.397,CONFUSED FACE
💥,0x1f4a5,0.148,COLLISION SYMBOL
💔,0x1f494,-0.121,BROKEN HEART
😤,0x1f624,-0.209,FACE WITH LOOK OF TRIUMPH
😈,0x1f608,0.265,SMILING FACE WITH HORNS
►,0x25ba,0.162,BLACK RIGHT-POINTING POINTER
✈,0x2708,0.415,AIRPLANE
🔝,0x1f51d,0.474,TOP WITH UPWARDS ARROW ABOVE
😰,0x1f630,-0.020,FACE WITH OPEN MOUTH AND COLD SWEAT
⚽,0x26bd,0.616,SOCCER BALL
😑,0x1f611,-0.311,EXPRESSIONLESS FACE
👑,0x1f451,0.694,CROWN
😹,0x1f639,0.141,CAT FACE WITH TEARS OF JOY
👉,0x1f449,0.390,WHITE RIGHT POINTING BACKHAND INDEX
🍃,0x1f343,0.378,LEAF FLUTTERING IN WIND
🎁,0x1f381,0.759,WRAPPED PRESENT
😠,0x1f620,-0.299,ANGRY FACE
🐧,0x1f427,0.456,PENGUIN
☆,0x2606,0.428,WHITE STAR
🍀,0x1f340,0.285,FOUR LEAF CLOVER
🎈,0x1f388,0.718,BALLOON
🎅,0x1f385,0.318,FATHER CHRISTMAS
😓,0x1f613,-0.080,FACE WITH COLD SWEAT
😣,0x1f623,-0.212,PERSEVERING FACE
😐,0x1f610,-0.388,NEUTRAL FACE
✊,0x270a,0.429,RAISED FIST
😨,0x1f628,-0.140,FEARFUL FACE
😖,0x1f616,-0.155,CONFOUNDED FACE
💤,0x1f4a4,0.370,SLEEPING SYMBOL
💓,0x1f493,0.664,BEATING HEART
👎,0x1f44e,-0.188,THUMBS DOWN SIGN
💦,0x1f4a6,0.471,SPLASHING SWEAT SYMBOL
✔,0x2714,0.270,HEAVY CHECK MARK
😷,0x1f637,-0.169,FACE WITH MEDICAL MASK
⚡,0x26a1,0.177,HIGH VOLTAGE SIGN
🙋,0x1f64b,0.485,HAPPY PERSON RAISING ONE HAND
🎄,0x1f384,0.531,CHRISTMAS TREE
💩,0x1f4a9,-0.116,PILE OF POO
🎵,0x1f3b5,0.500,MUSICAL NOTE
➡,0x27a1,0.147,BLACK RIGHTWARDS ARROW
😛,0x1f61b,0.601,FACE WITH STUCK-OUT TONGUE
😬,0x1f62c,0.194,GRIMACING FACE
👯,0x1f46f,0.439,WOMAN WITH BUNNY EARS
💎,0x1f48e,0.561,GEM STONE
🌿,0x1f33f,0.384,HERB
🎂,0x1f382,0.613,BIRTHDAY CAKE
🌟,0x1f31f,0.327,GLOWING STAR
🔮,0x1f52e,0.267,CRYSTAL BALL
❗,0x2757,0.100,HEAVY EXCLAMATION MARK SYMBOL
👫,0x1f46b,0.255,MAN AND WOMAN HOLDING HANDS
🏆,0x1f3c6,0.726,TROPHY
✖,0x2716,0.311,HEAVY MULTIPLICATION X
☝,0x261d,0.309,WHITE UP POINTING INDEX
😙,0x1f619,0.778,KISSING FACE WITH SMILING EYES
⛄,0x26c4,0.521,SNOWMAN WITHOUT SNOW
👅,0x1f445,0.461,TONGUE
♪,0x266a,0.534,EIGHTH NOTE
🍂,0x1f342,0.547,FALLEN LEAF
💏,0x1f48f,0.388,KISS
🔪,0x1f52a,0.070,HOCHO
🌴,0x1f334,0.525,PALM TREE
👈,0x1f448,0.424,WHITE LEFT POINTING BACKHAND INDEX
🌹,0x1f339,0.600,ROSE
🙆,0x1f646,0.500,FACE WITH OK GESTURE
➜,0x279c,0.162,HEAVY ROUND-TIPPED RIGHTWARDS ARROW
👻,0x1f47b,0.228,GHOST
💰,0x1f4b0,0.251,MONEY BAG
🍻,0x1f37b,0.512,CLINKING BEER MUGS
🙅,0x1f645,-0.202,FACE WITH NO GOOD GESTURE
🌞,0x1f31e,0.558,SUN WITH FACE
🍁,0x1f341,0.482,MAPLE LEAF
⭐,0x2b50,0.580,WHITE MEDIUM STAR
▪,0x25aa,0.198,BLACK SMALL SQUARE
🎀,0x1f380,0.629,RIBBON
━,0x2501,0.176,BOX DRAWINGS HEAVY HORIZONTAL
☷,0x2637,0.064,TRIGRAM FOR EARTH
🐷,0x1f437,0.368,PIG FACE
🙉,0x1f649,0.333,HEAR-NO-EVIL MONKEY
🌺,0x1f33a,0.549,HIBISCUS
💅,0x1f485,0.388,NAIL POLISH
🐶,0x1f436,0.576,DOG FACE
🌚,0x1f31a,0.464,NEW MOON WITH FACE
👽,0x1f47d,0.315,EXTRATERRESTRIAL ALIEN
🎤,0x1f3a4,0.476,MICROPHONE
👭,0x1f46d,0.463,TWO WOMEN HOLDING HANDS
🎧,0x1f3a7,0.414,HEADPHONE
👆,0x1f446,0.326,WHITE UP POINTING BACKHAND INDEX
🍸,0x1f378,0.539,COCKTAIL GLASS
🍷,0x1f377,0.393,WINE GLASS
®,0xae,0.279,REGISTERED SIGN
🍉,0x1f349,0.597,WATERMELON
😇,0x1f607,0.587,SMILING FACE WITH HALO
☑,0x2611,0.101,BALLOT BOX WITH CHECK
🏃,0x1f3c3,0.406,RUNNER
😿,0x1f63f,-0.372,CRYING CAT FACE
│,0x2502,0.343,BOX DRAWINGS LIGHT VERTICAL
💣,0x1f4a3,0.007,BOMB
🍺,0x1f37a,0.493,BEER MUG
▶,0x25b6,0.209,BLACK RIGHT-POINTING TRIANGLE
😲,0x1f632,-0.068,ASTONISHED FACE
🎸,0x1f3b8,0.516,GUITAR
🍹,0x1f379,0.659,TROPICAL DRINK
💫,0x1f4ab,0.500,DIZZY SYMBOL
📚,0x1f4da,0.336,BOOKS
😶,0x1f636,-0.142,FACE WITHOUT MOUTH
🌷,0x1f337,0.538,TULIP
💝,0x1f49d,0.644,HEART WITH RIBBON
💨,0x1f4a8,0.381,DASH SYMBOL
🏈,0x1f3c8,0.530,AMERICAN FOOTBALL
💍,0x1f48d,0.478,RING
☔,0x2614,0.289,UMBRELLA WITH RAIN DROPS
👸,0x1f478,0.605,PRINCESS
🇪,0x1f1ea,0.616,REGIONAL INDICATOR SYMBOL LETTER E
░,0x2591,-0.045,LIGHT SHADE
🍩,0x1f369,0.382,DOUGHNUT
👾,0x1f47e,0.361,ALIEN MONSTER
☁,0x2601,0.308,CLOUD
🌻,0x1f33b,0.570,SUNFLOWER
😵,0x1f635,0.085,DIZZY FACE
📒,0x1f4d2,0.038,LEDGER
↿,0x21bf,0.648,UPWARDS HARPOON WITH BARB LEFTWARDS
🐯,0x1f42f,0.476,TIGER FACE
👼,0x1f47c,0.333,BABY ANGEL
🍔,0x1f354,0.277,HAMBURGER
😸,0x1f638,0.410,GRINNING CAT FACE WITH SMILING EYES
👶,0x1f476,0.434,BABY
↾,0x21be,0.646,UPWARDS HARPOON WITH BARB RIGHTWARDS
💐,0x1f490,0.735,BOUQUET
🌊,0x1f30a,0.500,WATER WAVE
🍦,0x1f366,0.459,SOFT ICE CREAM
🍓,0x1f353,0.670,STRAWBERRY
👇,0x1f447,0.247,WHITE DOWN POINTING BACKHAND INDEX
💆,0x1f486,0.221,FACE MASSAGE
🍴,0x1f374,0.537,FORK AND KNIFE
😧,0x1f627,-0.063,ANGUISHED FACE
🇸,0x1f1f8,0.511,REGIONAL INDICATOR SYMBOL LETTER S
😮,0x1f62e,0.269,FACE WITH OPEN MOUTH
▓,0x2593,0.011,DARK SHADE
🚫,0x1f6ab,-0.440,NO ENTRY SIGN
😽,0x1f63d,0.571,KISSING CAT FACE WITH CLOSED EYES
🌈,0x1f308,0.516,RAINBOW
🙀,0x1f640,0.330,WEARY CAT FACE
⚠,0x26a0,-0.066,WARNING SIGN
🎮,0x1f3ae,0.427,VIDEO GAME
╯,0x256f,-0.011,BOX DRAWINGS LIGHT ARC UP AND LEFT
🍆,0x1f346,0.402,AUBERGINE
🍰,0x1f370,0.448,SHORTCAKE
✓,0x2713,0.287,CHECK MARK
👐,0x1f450,-0.023,OPEN HANDS SIGN
🙇,0x1f647,0.140,PERSON BOWING DEEPLY
🍟,0x1f35f,0.302,FRENCH FRIES
🍌,0x1f34c,0.435,BANANA
💑,0x1f491,0.659,COUPLE WITH HEART
👬,0x1f46c,-0.059,TWO MEN HOLDING HANDS
🐣,0x1f423,0.476,HATCHING CHICK
🎃,0x1f383,0.595,JACK-O-LANTERN
▬,0x25ac,0.464,BLACK RECTANGLE
￼,0xfffc,-0.476,OBJECT REPLACEMENT CHARACTER
😟,0x1f61f,0.072,WORRIED FACE
🐾,0x1f43e,0.605,PAW PRINTS
🎓,0x1f393,0.563,GRADUATION CAP
🏊,0x1f3ca,0.575,SWIMMER
🍫,0x1f36b,0.152,CHOCOLATE BAR
📷,0x1f4f7,0.430,CAMERA
👄,0x1f444,0.474,MOUTH
🌼,0x1f33c,0.779,BLOSSOM
🚶,0x1f6b6,-0.143,PEDESTRIAN
🐱,0x1f431,0.513,CAT FACE
║,0x2551,0.145,BOX DRAWINGS DOUBLE VERTICAL
🐸,0x1f438,-0.080,FROG FACE
🇺,0x1f1fa,0.541,REGIONAL INDICATOR SYMBOL LETTER U
👿,0x1f47f,-0.534,IMP
🚬,0x1f6ac,0.521,SMOKING SYMBOL
✿,0x273f,0.384,BLACK FLORETTE
📖,0x1f4d6,0.169,OPEN BOOK
🐒,0x1f412,0.521,MONKEY
🌍,0x1f30d,0.592,EARTH GLOBE EUROPE-AFRICA
┊,0x250a,0.958,BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL
🐥,0x1f425,0.586,FRONT-FACING BABY CHICK
🌀,0x1f300,0.101,CYCLONE
🐼,0x1f43c,0.261,PANDA FACE
🎥,0x1f3a5,0.290,MOVIE CAMERA
💄,0x1f484,0.435,LIPSTICK
💸,0x1f4b8,0.159,MONEY WITH WINGS
⛔,0x26d4,0.485,NO ENTRY
●,0x25cf,0.176,BLACK CIRCLE
🏀,0x1f3c0,0.254,BASKETBALL AND HOOP
💉,0x1f489,0.358,SYRINGE
💟,0x1f49f,0.682,HEART DECORATION
🚗,0x1f697,0.231,AUTOMOBILE
😯,0x1f62f,0.123,HUSHED FACE
📝,0x1f4dd,0.231,MEMO
═,0x2550,0.015,BOX DRAWINGS DOUBLE HORIZONTAL
♦,0x2666,0.453,BLACK DIAMOND SUIT
💭,0x1f4ad,0.206,THOUGHT BALLOON
🌙,0x1f319,0.590,CRESCENT MOON
🐟,0x1f41f,0.689,FISH
👣,0x1f463,0.344,FOOTPRINTS
☞,0x261e,0.115,WHITE RIGHT POINTING INDEX
✂,0x2702,-0.459,BLACK SCISSORS
🗿,0x1f5ff,0.443,MOYAI
🍝,0x1f35d,0.117,SPAGHETTI
👪,0x1f46a,-0.017,FAMILY
🍭,0x1f36d,0.300,LOLLIPOP
🌃,0x1f303,0.390,NIGHT WITH STARS
❌,0x274c,0.271,CROSS MARK
🐰,0x1f430,0.586,RABBIT FACE
💊,0x1f48a,0.431,PILL
🚨,0x1f6a8,0.638,POLICE CARS REVOLVING LIGHT
😦,0x1f626,-0.368,FROWNING FACE WITH OPEN MOUTH
🍪,0x1f36a,0.316,COOKIE
🍣,0x1f363,-0.232,SUSHI
╭,0x256d,0.161,BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
✧,0x2727,0.321,WHITE FOUR POINTED STAR
🎆,0x1f386,0.709,FIREWORKS
╮,0x256e,0.127,BOX DRAWINGS LIGHT ARC DOWN AND LEFT
🎎,0x1f38e,0.907,JAPANESE DOLLS
🇩,0x1f1e9,0.611,REGIONAL INDICATOR SYMBOL LETTER D
✅,0x2705,0.407,WHITE HEAVY CHECK MARK
👹,0x1f479,0.058,JAPANESE OGRE
📱,0x1f4f1,0.308,MOBILE PHONE
🙍,0x1f64d,-0.327,PERSON FROWNING
🍑,0x1f351,0.250,PEACH
🎼,0x1f3bc,0.327,MUSICAL SCORE
🔊,0x1f50a,0.404,SPEAKER WITH THREE SOUND WAVES
🌌,0x1f30c,0.520,MILKY WAY
🍎,0x1f34e,0.320,RED APPLE
🐻,0x1f43b,0.440,BEAR FACE
─,0x2500,0.140,BOX DRAWINGS LIGHT HORIZONTAL
╰,0x2570,-0.060,BOX DRAWINGS LIGHT ARC UP AND RIGHT
💇,0x1f487,0.327,HAIRCUT
♬,0x266c,0.245,BEAMED SIXTEENTH NOTES
♚,0x265a,0.041,BLACK CHESS KING
🔴,0x1f534,0.396,LARGE RED CIRCLE
🍱,0x1f371,-0.313,BENTO BOX
🍊,0x1f34a,0.417,TANGERINE
🍒,0x1f352,0.313,CHERRIES
🐭,0x1f42d,0.688,MOUSE FACE
👟,0x1f45f,0.417,ATHLETIC SHOE
🌎,0x1f30e,0.319,EARTH GLOBE AMERICAS
🍍,0x1f34d,0.468,PINEAPPLE
🐮,0x1f42e,0.587,COW FACE
📲,0x1f4f2,0.239,MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT
☼,0x263c,0.196,WHITE SUN WITH RAYS
🌅,0x1f305,0.356,SUNRISE
🇷,0x1f1f7,0.667,REGIONAL INDICATOR SYMBOL LETTER R
👠,0x1f460,0.356,HIGH-HEELED SHOE
🌽,0x1f33d,0.444,EAR OF MAIZE
💧,0x1f4a7,-0.159,DROPLET
❓,0x2753,0.068,BLACK QUESTION MARK ORNAMENT
🍬,0x1f36c,0.364,CANDY
😺,0x1f63a,0.395,SMILING CAT FACE WITH OPEN MOUTH
🐴,0x1f434,0.070,HORSE FACE
🚀,0x1f680,0.488,ROCKET
¦,0xa6,0.581,BROKEN BAR
💢,0x1f4a2,0.233,ANGER SYMBOL
🎬,0x1f3ac,0.279,CLAPPER BOARD
🍧,0x1f367,0.302,SHAVED ICE
🍜,0x1f35c,0.395,STEAMING BOWL
🐏,0x1f40f,0.558,RAM
🐘,0x1f418,0.023,ELEPHANT
👧,0x1f467,0.140,GIRL
⠀,0x2800,0.047,BRAILLE PATTERN BLANK
🏄,0x1f3c4,0.524,SURFER
➤,0x27a4,0.310,BLACK RIGHTWARDS ARROWHEAD
⬆,0x2b06,0.286,UPWARDS BLACK ARROW
🍋,0x1f34b,0.244,LEMON
🆗,0x1f197,0.537,SQUARED OK
⚪,0x26aa,0.450,MEDIUM WHITE CIRCLE
📺,0x1f4fa,0.375,TELEVISION
🍅,0x1f345,0.350,TOMATO
⛅,0x26c5,0.450,SUN BEHIND CLOUD
🐢,0x1f422,0.200,TURTLE
👙,0x1f459,0.500,BIKINI
🏡,0x1f3e1,0.436,HOUSE WITH GARDEN
🌾,0x1f33e,0.538,EAR OF RICE
◉,0x25c9,0.256,FISHEYE
✏,0x270f,0.342,PENCIL
🐬,0x1f42c,0.421,DOLPHIN
🍤,0x1f364,0.053,FRIED SHRIMP
🇹,0x1f1f9,0.579,REGIONAL INDICATOR SYMBOL LETTER T
♣,0x2663,0.342,BLACK CLUB SUIT
🐝,0x1f41d,0.211,HONEYBEE
🌝,0x1f31d,0.189,FULL MOON WITH FACE
🇮,0x1f1ee,0.595,REGIONAL INDICATOR SYMBOL LETTER I
🔋,0x1f50b,-0.486,BATTERY
🐍,0x1f40d,0.351,SNAKE
♔,0x2654,0.541,WHITE CHESS KING
🍳,0x1f373,0.028,COOKING
🔵,0x1f535,0.306,LARGE BLUE CIRCLE
😾,0x1f63e,-0.333,POUTING CAT FACE
🌕,0x1f315,0.556,FULL MOON SYMBOL
🐨,0x1f428,0.444,KOALA
🔐,0x1f510,0.333,CLOSED LOCK WITH KEY
💿,0x1f4bf,0.611,OPTICAL DISC
❁,0x2741,0.056,EIGHT PETALLED OUTLINED BLACK FLORETTE
🌳,0x1f333,0.486,DECIDUOUS TREE
