character,unicode,sentiment,label
👰,0x1f470,0.486,BRIDE WITH VEIL
❀,0x2740,0.400,WHITE FLORETTE
⚓,0x2693,0.571,ANCHOR
🚴,0x1f6b4,0.657,BICYCLIST
▀,0x2580,-0.143,UPPER HALF BLOCK
👗,0x1f457,0.235,DRESS
➕,0x2795,0.529,HEAVY PLUS SIGN
💬,0x1f4ac,0.364,SPEECH BALLOON
▒,0x2592,-0.030,MEDIUM SHADE
🔜,0x1f51c,0.273,SOON WITH RIGHTWARDS ARROW ABOVE
🍨,0x1f368,0.212,ICE CREAM
💲,0x1f4b2,0.242,HEAVY DOLLAR SIGN
⛽,0x26fd,0.152,FUEL PUMP
🍙,0x1f359,0.281,RICE BALL
🍗,0x1f357,0.063,POULTRY LEG
🍲,0x1f372,0.125,POT OF FOOD
🍥,0x1f365,-0.594,FISH CAKE WITH SWIRL DESIGN
▸,0x25b8,0.219,BLACK RIGHT-POINTING SMALL TRIANGLE
♛,0x265b,0.188,BLACK CHESS QUEEN
😼,0x1f63c,0.355,CAT FACE WITH WRY SMILE
🐙,0x1f419,0.387,OCTOPUS
👨,0x1f468,0.516,MAN
🍚,0x1f35a,0.452,COOKED RICE
🍖,0x1f356,0.129,MEAT ON BONE
♨,0x2668,0.871,HOT SPRINGS
🎹,0x1f3b9,0.355,MUSICAL KEYBOARD
♕,0x2655,0.387,WHITE CHESS QUEEN
▃,0x2583,0.903,LOWER THREE EIGHTHS BLOCK
🚘,0x1f698,0.067,ONCOMING AUTOMOBILE
🍏,0x1f34f,0.067,GREEN APPLE
👩,0x1f469,0.067,WOMAN
👦,0x1f466,0.133,BOY
🇬,0x1f1ec,0.267,REGIONAL INDICATOR SYMBOL LETTER G
🇧,0x1f1e7,0.267,REGIONAL INDICATOR SYMBOL LETTER B
☠,0x2620,-0.033,SKULL AND CROSSBONES
🐠,0x1f420,0.414,TROPICAL FISH
🚹,0x1f6b9,0.690,MENS SYMBOL
💵,0x1f4b5,0.379,BANKNOTE WITH DOLLAR SIGN
✰,0x2730,0.793,SHADOWED WHITE STAR
╠,0x2560,0.207,BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
👛,0x1f45b,0.357,PURSE
🚙,0x1f699,0.036,RECREATIONAL VEHICLE
🌱,0x1f331,0.571,SEEDLING
💻,0x1f4bb,0.250,PERSONAL COMPUTER
🌏,0x1f30f,0.321,EARTH GLOBE ASIA-AUSTRALIA
▄,0x2584,-0.071,LOWER HALF BLOCK
👓,0x1f453,0.296,EYEGLASSES
◄,0x25c4,0.222,BLACK LEFT-POINTING POINTER
⚾,0x26be,-0.037,BASEBALL
🌲,0x1f332,0.385,EVERGREEN TREE
👴,0x1f474,0.231,OLDER MAN
🏠,0x1f3e0,0.500,HOUSE BUILDING
🍇,0x1f347,0.269,GRAPES
🍘,0x1f358,0.385,RICE CRACKER
🍛,0x1f35b,0.038,CURRY AND RICE
🐇,0x1f407,0.231,RABBIT
🔞,0x1f51e,-0.038,NO ONE UNDER EIGHTEEN SYMBOL
👵,0x1f475,0.423,OLDER WOMAN
◀,0x25c0,0.269,BLACK LEFT-POINTING TRIANGLE
🔙,0x1f519,0.192,BACK WITH LEFTWARDS ARROW ABOVE
🌵,0x1f335,0.192,CACTUS
🐽,0x1f43d,0.120,PIG NOSE
🍮,0x1f36e,-0.120,CUSTARD
🎇,0x1f387,0.680,FIREWORK SPARKLER
🐎,0x1f40e,0.400,HORSE
➔,0x2794,-0.120,HEAVY WIDE-HEADED RIGHTWARDS ARROW
💶,0x1f4b6,0.000,BANKNOTE WITH EURO SIGN
🐤,0x1f424,0.520,BABY CHICK
╩,0x2569,0.200,BOX DRAWINGS DOUBLE UP AND HORIZONTAL
🛀,0x1f6c0,0.125,BATH
🌑,0x1f311,0.458,NEW MOON SYMBOL
🚲,0x1f6b2,0.375,BICYCLE
🐑,0x1f411,-0.167,SHEEP
🏁,0x1f3c1,0.500,CHEQUERED FLAG
🍞,0x1f35e,0.042,BREAD
🎾,0x1f3be,0.542,TENNIS RACQUET AND BALL
╚,0x255a,0.292,BOX DRAWINGS DOUBLE UP AND RIGHT
🈹,0x1f239,0.292,SQUARED CJK UNIFIED IDEOGRAPH-5272
🐳,0x1f433,0.130,SPOUTING WHALE
👮,0x1f46e,-0.348,POLICE OFFICER
☹,0x2639,-0.522,WHITE FROWNING FACE
🐵,0x1f435,0.478,MONKEY FACE
✪,0x272a,0.304,CIRCLED WHITE STAR
◕,0x25d5,0.435,CIRCLE WITH ALL BUT UPPER LEFT QUADRANT BLACK
🗼,0x1f5fc,0.522,TOKYO TOWER
▐,0x2590,-0.130,RIGHT HALF BLOCK
♠,0x2660,0.304,BLACK SPADE SUIT
┳,0x2533,-0.348,BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
👺,0x1f47a,-0.182,JAPANESE GOBLIN
🐚,0x1f41a,0.227,SPIRAL SHELL
👂,0x1f442,-0.136,EAR
🗽,0x1f5fd,0.318,STATUE OF LIBERTY
🍵,0x1f375,0.364,TEACUP WITHOUT HANDLE
🆒,0x1f192,0.364,SQUARED COOL
🍯,0x1f36f,0.045,HONEY POT
🐺,0x1f43a,0.227,WOLF FACE
⇨,0x21e8,0.455,RIGHTWARDS WHITE ARROW
➨,0x27a8,0.136,HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW
🌓,0x1f313,0.591,FIRST QUARTER MOON SYMBOL
🔒,0x1f512,0.182,LOCK
╬,0x256c,-0.136,BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
👳,0x1f473,0.619,MAN WITH TURBAN
🌂,0x1f302,0.238,CLOSED UMBRELLA
🚌,0x1f68c,0.190,BUS
♩,0x2669,0.524,QUARTER NOTE
🍡,0x1f361,-0.048,DANGO
❥,0x2765,0.238,ROTATED HEAVY BLACK HEART BULLET
🎡,0x1f3a1,0.286,FERRIS WHEEL
💌,0x1f48c,0.500,LOVE LETTER
🐩,0x1f429,0.350,POODLE
🌜,0x1f31c,0.500,LAST QUARTER MOON WITH FACE
⌚,0x231a,0.200,WATCH
🚿,0x1f6bf,0.600,SHOWER
🐖,0x1f416,0.150,PIG
🔆,0x1f506,0.550,HIGH BRIGHTNESS SYMBOL
🌛,0x1f31b,0.550,FIRST QUARTER MOON WITH FACE
💂,0x1f482,-0.150,GUARDSMAN
🐔,0x1f414,0.300,CHICKEN
🙎,0x1f64e,-0.050,PERSON WITH POUTING FACE
🏩,0x1f3e9,0.421,LOVE HOTEL
🇫,0x1f1eb,0.474,REGIONAL INDICATOR SYMBOL LETTER F
🔨,0x1f528,-0.105,HAMMER
📢,0x1f4e2,0.421,PUBLIC ADDRESS LOUDSPEAKER
🐦,0x1f426,0.421,BIRD
🐲,0x1f432,-0.053,DRAGON FACE
♻,0x267b,0.474,BLACK UNIVERSAL RECYCLING SYMBOL
🌘,0x1f318,0.579,WANING CRESCENT MOON SYMBOL
🍐,0x1f350,0.158,PEAR
🌔,0x1f314,0.579,WAXING GIBBOUS MOON SYMBOL
╥,0x2565,0.105,BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
❊,0x274a,0.000,EIGHT TEARDROP-SPOKED PROPELLER ASTERISK
👖,0x1f456,0.333,JEANS
🚺,0x1f6ba,0.167,WOMENS SYMBOL
😗,0x1f617,0.611,KISSING FACE
🎭,0x1f3ad,0.000,PERFORMING ARTS
🐄,0x1f404,0.278,COW
◟,0x25df,-0.056,LOWER LEFT QUADRANT CIRCULAR ARC
🍢,0x1f362,-0.111,ODEN
🎨,0x1f3a8,0.167,ARTIST PALETTE
⬇,0x2b07,0.389,DOWNWARDS BLACK ARROW
🚼,0x1f6bc,0.556,BABY SYMBOL
⛲,0x26f2,0.056,FOUNTAIN
▁,0x2581,0.000,LOWER ONE EIGHTH BLOCK
🇴,0x1f1f4,0.333,REGIONAL INDICATOR SYMBOL LETTER O
🌗,0x1f317,0.611,LAST QUARTER MOON SYMBOL
🌖,0x1f316,0.611,WANING GIBBOUS MOON SYMBOL
🔅,0x1f505,0.833,LOW BRIGHTNESS SYMBOL
👜,0x1f45c,0.235,HANDBAG
🐌,0x1f40c,0.647,SNAIL
💼,0x1f4bc,0.529,BRIEFCASE
🚕,0x1f695,0.000,TAXI
🐹,0x1f439,0.294,HAMSTER FACE
🌠,0x1f320,0.529,SHOOTING STAR
🐈,0x1f408,0.294,CAT
⇧,0x21e7,0.118,UPWARDS WHITE ARROW
☎,0x260e,0.000,BLACK TELEPHONE
🌁,0x1f301,0.176,FOGGY
⚫,0x26ab,0.235,MEDIUM BLACK CIRCLE
♧,0x2667,0.471,WHITE CLUB SUIT
🏰,0x1f3f0,0.294,EUROPEAN CASTLE
🚵,0x1f6b5,0.353,MOUNTAIN BICYCLIST
🎢,0x1f3a2,0.471,ROLLER COASTER
🎷,0x1f3b7,0.647,SAXOPHONE
🎐,0x1f390,0.176,WIND CHIME
┈,0x2508,-0.588,BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
╗,0x2557,0.353,BOX DRAWINGS DOUBLE DOWN AND LEFT
╱,0x2571,0.000,BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
🌇,0x1f307,0.500,SUNSET OVER BUILDINGS
⏰,0x23f0,0.438,ALARM CLOCK
⇩,0x21e9,0.000,DOWNWARDS WHITE ARROW
🚂,0x1f682,0.250,STEAM LOCOMOTIVE
◠,0x25e0,0.438,UPPER HALF CIRCLE
🎿,0x1f3bf,0.375,SKI AND SKI BOOT
✦,0x2726,0.063,BLACK FOUR POINTED STAR
🆔,0x1f194,0.750,SQUARED ID
⛪,0x26ea,0.125,CHURCH
🌒,0x1f312,0.563,WAXING CRESCENT MOON SYMBOL
🐪,0x1f42a,0.563,DROMEDARY CAMEL
╔,0x2554,0.250,BOX DRAWINGS DOUBLE DOWN AND RIGHT
╝,0x255d,0.438,BOX DRAWINGS DOUBLE UP AND LEFT
👔,0x1f454,0.333,NECKTIE
🔱,0x1f531,0.067,TRIDENT EMBLEM
🆓,0x1f193,0.200,SQUARED FREE
🐋,0x1f40b,0.200,WHALE
▽,0x25bd,0.400,WHITE DOWN-POINTING TRIANGLE
▂,0x2582,0.000,LOWER ONE QUARTER BLOCK
🐛,0x1f41b,0.267,BUG
👕,0x1f455,0.400,T-SHIRT
🚋,0x1f68b,0.067,TRAM CAR
💳,0x1f4b3,0.400,CREDIT CARD
🌆,0x1f306,0.133,CITYSCAPE AT DUSK
🏧,0x1f3e7,0.800,AUTOMATED TELLER MACHINE
💡,0x1f4a1,0.600,ELECTRIC LIGHT BULB
🔹,0x1f539,0.133,SMALL BLUE DIAMOND
⬅,0x2b05,0.467,LEFTWARDS BLACK ARROW
🍠,0x1f360,0.000,ROASTED SWEET POTATO
🐫,0x1f42b,0.333,BACTRIAN CAMEL
🏪,0x1f3ea,0.067,CONVENIENCE STORE
۩,0x6e9,0.000,ARABIC PLACE OF SAJDAH
🇱,0x1f1f1,0.400,REGIONAL INDICATOR SYMBOL LETTER L
📹,0x1f4f9,0.429,VIDEO CAMERA
👞,0x1f45e,0.429,MANS SHOE
🚑,0x1f691,0.071,AMBULANCE
🆘,0x1f198,0.071,SQUARED SOS
👚,0x1f45a,0.571,WOMANS CLOTHES
🚍,0x1f68d,0.071,ONCOMING BUS
□,0x25a1,-0.214,WHITE SQUARE
🐂,0x1f402,0.143,OX
🚣,0x1f6a3,0.571,ROWBOAT
✳,0x2733,0.000,EIGHT SPOKED ASTERISK
🏉,0x1f3c9,0.500,RUGBY FOOTBALL
🗻,0x1f5fb,0.571,MOUNT FUJI
🐀,0x1f400,0.143,RAT
╦,0x2566,0.357,BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
⛺,0x26fa,0.462,TENT
🐕,0x1f415,0.231,DOG
🏂,0x1f3c2,0.385,SNOWBOARDER
👡,0x1f461,0.385,WOMANS SANDAL
📻,0x1f4fb,0.308,RADIO
✒,0x2712,0.231,BLACK NIB
🌰,0x1f330,0.538,CHESTNUT
🏢,0x1f3e2,0.154,OFFICE BUILDING
🎒,0x1f392,0.462,SCHOOL SATCHEL
⌒,0x2312,0.538,ARC
🏫,0x1f3eb,-0.231,SCHOOL
📴,0x1f4f4,0.615,MOBILE PHONE OFF
🚢,0x1f6a2,0.231,SHIP
🚚,0x1f69a,-0.077,DELIVERY TRUCK
🐉,0x1f409,0.154,DRAGON
❒,0x2752,0.231,UPPER RIGHT SHADOWED WHITE SQUARE
🐊,0x1f40a,0.077,CROCODILE
🔔,0x1f514,0.769,BELL
◢,0x25e2,0.615,BLACK LOWER RIGHT TRIANGLE
🏥,0x1f3e5,0.250,HOSPITAL
❔,0x2754,0.000,WHITE QUESTION MARK ORNAMENT
🚖,0x1f696,-0.083,ONCOMING TAXI
🃏,0x1f0cf,0.083,PLAYING CARD BLACK JOKER
▼,0x25bc,0.083,BLACK DOWN-POINTING TRIANGLE
▌,0x258c,-0.250,LEFT HALF BLOCK
☛,0x261b,0.333,BLACK RIGHT POINTING INDEX
✩,0x2729,0.000,STRESS OUTLINED WHITE STAR
💒,0x1f492,0.500,WEDDING
🚤,0x1f6a4,0.333,SPEEDBOAT
🐐,0x1f410,0.417,GOAT
■,0x25a0,-0.250,BLACK SQUARE
🔚,0x1f51a,0.333,END WITH LEFTWARDS ARROW ABOVE
🎻,0x1f3bb,0.333,VIOLIN
🔷,0x1f537,0.167,LARGE BLUE DIAMOND
🚦,0x1f6a6,0.083,VERTICAL TRAFFIC LIGHT
🔓,0x1f513,0.083,OPEN LOCK
🎽,0x1f3bd,0.417,RUNNING SHIRT WITH SASH
📅,0x1f4c5,0.167,CALENDAR
🎺,0x1f3ba,0.583,TRUMPET
✯,0x272f,0.000,PINWHEEL STAR
🍈,0x1f348,-0.333,MELON
✉,0x2709,0.250,ENVELOPE
╣,0x2563,0.000,BOX DRAWINGS DOUBLE VERTICAL AND LEFT
◤,0x25e4,0.750,BLACK UPPER LEFT TRIANGLE
○,0x25cb,0.455,WHITE CIRCLE
🍼,0x1f37c,0.455,BABY BOTTLE
📀,0x1f4c0,0.091,DVD
🚛,0x1f69b,-0.182,ARTICULATED LORRY
📓,0x1f4d3,0.182,NOTEBOOK
☉,0x2609,0.182,SUN
💴,0x1f4b4,-0.182,BANKNOTE WITH YEN SIGN
┼,0x253c,0.000,BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
🐃,0x1f403,0.000,WATER BUFFALO
➰,0x27b0,-0.091,CURLY LOOP
🔌,0x1f50c,-0.091,ELECTRIC PLUG
🍄,0x1f344,0.000,MUSHROOM
📕,0x1f4d5,0.182,CLOSED BOOK
📣,0x1f4e3,0.364,CHEERING MEGAPHONE
🚓,0x1f693,0.273,POLICE CAR
🐗,0x1f417,0.455,BOAR
↪,0x21aa,0.091,RIGHTWARDS ARROW WITH HOOK
⛳,0x26f3,0.636,FLAG IN HOLE
┻,0x253b,-0.364,BOX DRAWINGS HEAVY UP AND HORIZONTAL
┛,0x251b,0.545,BOX DRAWINGS HEAVY UP AND LEFT
┃,0x2503,0.364,BOX DRAWINGS HEAVY VERTICAL
👱,0x1f471,0.100,PERSON WITH BLOND HAIR
⏳,0x23f3,0.000,HOURGLASS WITH FLOWING SAND
💺,0x1f4ba,0.200,SEAT
🏇,0x1f3c7,-0.100,HORSE RACING
☻,0x263b,0.200,BLACK SMILING FACE
📞,0x1f4de,0.400,TELEPHONE RECEIVER
Ⓐ,0x24b6,-0.100,CIRCLED LATIN CAPITAL LETTER A
🌉,0x1f309,0.500,BRIDGE AT NIGHT
🚩,0x1f6a9,-0.200,TRIANGULAR FLAG ON POST
✎,0x270e,0.500,LOWER RIGHT PENCIL
📃,0x1f4c3,0.400,PAGE WITH CURL
🏨,0x1f3e8,0.200,HOTEL
📌,0x1f4cc,-0.400,PUSHPIN
♎,0x264e,-0.100,LIBRA
💷,0x1f4b7,0.400,BANKNOTE WITH POUND SIGN
🚄,0x1f684,0.500,HIGH-SPEED TRAIN
▲,0x25b2,0.500,BLACK UP-POINTING TRIANGLE
⛵,0x26f5,0.500,SAILBOAT
🔸,0x1f538,0.200,SMALL ORANGE DIAMOND
⌛,0x231b,0.100,HOURGLASS
🚜,0x1f69c,0.700,TRACTOR
🐆,0x1f406,0.300,LEOPARD
👒,0x1f452,0.200,WOMANS HAT
❕,0x2755,0.200,WHITE EXCLAMATION MARK ORNAMENT
🔛,0x1f51b,0.400,ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE
♢,0x2662,0.300,WHITE DIAMOND SUIT
🇲,0x1f1f2,0.400,REGIONAL INDICATOR SYMBOL LETTER M
❅,0x2745,0.600,TIGHT TRIFOLIATE SNOWFLAKE
👝,0x1f45d,0.333,POUCH
✞,0x271e,0.333,SHADOWED WHITE LATIN CROSS
◡,0x25e1,0.222,LOWER HALF CIRCLE
🎋,0x1f38b,0.444,TANABATA TREE
👥,0x1f465,0.222,BUSTS IN SILHOUETTE
📵,0x1f4f5,0.111,NO MOBILE PHONES
🐡,0x1f421,0.222,BLOWFISH
◆,0x25c6,0.556,BLACK DIAMOND
🏯,0x1f3ef,0.111,JAPANESE CASTLE
☂,0x2602,0.000,UMBRELLA
🔭,0x1f52d,0.333,TELESCOPE
🎪,0x1f3aa,0.222,CIRCUS TENT
🐜,0x1f41c,0.444,ANT
♌,0x264c,0.556,LEO
☐,0x2610,-0.667,BALLOT BOX
👷,0x1f477,0.222,CONSTRUCTION WORKER
↳,0x21b3,0.000,DOWNWARDS ARROW WITH TIP RIGHTWARDS
🔈,0x1f508,0.222,SPEAKER
📄,0x1f4c4,0.667,PAGE FACING UP
📍,0x1f4cd,0.111,ROUND PUSHPIN
🚐,0x1f690,0.556,MINIBUS
🚔,0x1f694,0.000,ONCOMING POLICE CAR
🌋,0x1f30b,0.444,VOLCANO
📡,0x1f4e1,0.222,SATELLITE ANTENNA
⏩,0x23e9,0.111,BLACK RIGHT-POINTING DOUBLE TRIANGLE
🚳,0x1f6b3,0.667,NO BICYCLES
✘,0x2718,0.556,HEAVY BALLOT X
۞,0x6de,0.000,ARABIC START OF RUB EL HIZB
☾,0x263e,0.000,LAST QUARTER MOON
🅰,0x1f170,0.222,NEGATIVE SQUARED LATIN CAPITAL LETTER A
📥,0x1f4e5,0.000,INBOX TRAY
🇼,0x1f1fc,0.333,REGIONAL INDICATOR SYMBOL LETTER W
┓,0x2513,0.444,BOX DRAWINGS HEAVY DOWN AND LEFT
┣,0x2523,0.444,BOX DRAWINGS HEAVY VERTICAL AND RIGHT
Ⓛ,0x24c1,0.333,CIRCLED LATIN CAPITAL LETTER L
Ⓔ,0x24ba,0.333,CIRCLED LATIN CAPITAL LETTER E
🔦,0x1f526,0.000,ELECTRIC TORCH
👤,0x1f464,0.500,BUST IN SILHOUETTE
🚁,0x1f681,0.125,HELICOPTER
🎠,0x1f3a0,0.375,CAROUSEL HORSE
🐁,0x1f401,-0.250,MOUSE
📗,0x1f4d7,0.125,GREEN BOOK
┐,0x2510,-0.125,BOX DRAWINGS LIGHT DOWN AND LEFT
☮,0x262e,0.000,PEACE SYMBOL
♂,0x2642,0.125,MALE SIGN
◞,0x25de,0.000,LOWER RIGHT QUADRANT CIRCULAR ARC
📯,0x1f4ef,-0.125,POSTAL HORN
🔩,0x1f529,0.125,NUT AND BOLT
👢,0x1f462,0.500,WOMANS BOOTS
◂,0x25c2,0.250,BLACK LEFT-POINTING SMALL TRIANGLE
📰,0x1f4f0,0.250,NEWSPAPER
📶,0x1f4f6,0.250,ANTENNA WITH BARS
🚥,0x1f6a5,0.000,HORIZONTAL TRAFFIC LIGHT
🌄,0x1f304,0.125,SUNRISE OVER MOUNTAINS
🗾,0x1f5fe,0.250,SILHOUETTE OF JAPAN
🔶,0x1f536,0.250,LARGE ORANGE DIAMOND
🏤,0x1f3e4,0.250,EUROPEAN POST OFFICE
🎩,0x1f3a9,0.250,TOP HAT
Ⓜ,0x24c2,0.250,CIRCLED LATIN CAPITAL LETTER M
🔧,0x1f527,-0.375,WRENCH
🐅,0x1f405,0.125,TIGER
♮,0x266e,0.125,MUSIC NATURAL SIGN
🅾,0x1f17e,-0.125,NEGATIVE SQUARED LATIN CAPITAL LETTER O
🔄,0x1f504,0.000,ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS
☄,0x2604,0.000,COMET
☨,0x2628,0.000,CROSS OF LORRAINE
